0.060275
# A|F|37734107.0|56586554400.73|5375825713487.0|559090652228276.92|1478493
# N|F|991417.0|1487504710.38|141308216805.41|14696492231943.75|38854
# N|O|74476040.0|111701729697.74|10611823030760.56|1103670438724970.10|2920374
# R|F|37719753.0|56568041380.90|5374129268460.40|558896191198319.32|1478870
# A|F|0.0|0.0|0.0|0.0|0
# N|F|0.0|0.0|0.0|0.0|0
# N|O|0.0|0.0|0.0|0.0|0
# R|F|0.0|0.0|0.0|0.0|0
0.060247
# A|F|37734107.0|56586554400.73|5375825713487.0|559090652228276.92|1478493
# N|F|991417.0|1487504710.38|141308216805.41|14696492231943.75|38854
# N|O|74476040.0|111701729697.74|10611823030760.56|1103670438724970.10|2920374
# R|F|37719753.0|56568041380.90|5374129268460.40|558896191198319.32|1478870
# A|F|0.0|0.0|0.0|0.0|0
# N|F|0.0|0.0|0.0|0.0|0
# N|O|0.0|0.0|0.0|0.0|0
# R|F|0.0|0.0|0.0|0.0|0
0.060195
# A|F|37734107.0|56586554400.73|5375825713487.0|559090652228276.92|1478493
# N|F|991417.0|1487504710.38|141308216805.41|14696492231943.75|38854
# N|O|74476040.0|111701729697.74|10611823030760.56|1103670438724970.10|2920374
# R|F|37719753.0|56568041380.90|5374129268460.40|558896191198319.32|1478870
# A|F|0.0|0.0|0.0|0.0|0
# N|F|0.0|0.0|0.0|0.0|0
# N|O|0.0|0.0|0.0|0.0|0
# R|F|0.0|0.0|0.0|0.0|0
0.060208
# A|F|37734107.0|56586554400.73|5375825713487.0|559090652228276.92|1478493
# N|F|991417.0|1487504710.38|141308216805.41|14696492231943.75|38854
# N|O|74476040.0|111701729697.74|10611823030760.56|1103670438724970.10|2920374
# R|F|37719753.0|56568041380.90|5374129268460.40|558896191198319.32|1478870
# A|F|0.0|0.0|0.0|0.0|0
# N|F|0.0|0.0|0.0|0.0|0
# N|O|0.0|0.0|0.0|0.0|0
# R|F|0.0|0.0|0.0|0.0|0
0.060201
# A|F|37734107.0|56586554400.73|5375825713487.0|559090652228276.92|1478493
# N|F|991417.0|1487504710.38|141308216805.41|14696492231943.75|38854
# N|O|74476040.0|111701729697.74|10611823030760.56|1103670438724970.10|2920374
# R|F|37719753.0|56568041380.90|5374129268460.40|558896191198319.32|1478870
# A|F|0.0|0.0|0.0|0.0|0
# N|F|0.0|0.0|0.0|0.0|0
# N|O|0.0|0.0|0.0|0.0|0
# R|F|0.0|0.0|0.0|0.0|0
0.060210
# A|F|37734107.0|56586554400.73|5375825713487.0|559090652228276.92|1478493
# N|F|991417.0|1487504710.38|141308216805.41|14696492231943.75|38854
# N|O|74476040.0|111701729697.74|10611823030760.56|1103670438724970.10|2920374
# R|F|37719753.0|56568041380.90|5374129268460.40|558896191198319.32|1478870
# A|F|0.0|0.0|0.0|0.0|0
# N|F|0.0|0.0|0.0|0.0|0
# N|O|0.0|0.0|0.0|0.0|0
# R|F|0.0|0.0|0.0|0.0|0
0.060319
# A|F|37734107.0|56586554400.73|5375825713487.0|559090652228276.92|1478493
# N|F|991417.0|1487504710.38|141308216805.41|14696492231943.75|38854
# N|O|74476040.0|111701729697.74|10611823030760.56|1103670438724970.10|2920374
# R|F|37719753.0|56568041380.90|5374129268460.40|558896191198319.32|1478870
# A|F|0.0|0.0|0.0|0.0|0
# N|F|0.0|0.0|0.0|0.0|0
# N|O|0.0|0.0|0.0|0.0|0
# R|F|0.0|0.0|0.0|0.0|0
0.060221
# A|F|37734107.0|56586554400.73|5375825713487.0|559090652228276.92|1478493
# N|F|991417.0|1487504710.38|141308216805.41|14696492231943.75|38854
# N|O|74476040.0|111701729697.74|10611823030760.56|1103670438724970.10|2920374
# R|F|37719753.0|56568041380.90|5374129268460.40|558896191198319.32|1478870
# A|F|0.0|0.0|0.0|0.0|0
# N|F|0.0|0.0|0.0|0.0|0
# N|O|0.0|0.0|0.0|0.0|0
# R|F|0.0|0.0|0.0|0.0|0
0.060211
# A|F|37734107.0|56586554400.73|5375825713487.0|559090652228276.92|1478493
# N|F|991417.0|1487504710.38|141308216805.41|14696492231943.75|38854
# N|O|74476040.0|111701729697.74|10611823030760.56|1103670438724970.10|2920374
# R|F|37719753.0|56568041380.90|5374129268460.40|558896191198319.32|1478870
# A|F|0.0|0.0|0.0|0.0|0
# N|F|0.0|0.0|0.0|0.0|0
# N|O|0.0|0.0|0.0|0.0|0
# R|F|0.0|0.0|0.0|0.0|0
0.061019
# A|F|37734107.0|56586554400.73|5375825713487.0|559090652228276.92|1478493
# N|F|991417.0|1487504710.38|141308216805.41|14696492231943.75|38854
# N|O|74476040.0|111701729697.74|10611823030760.56|1103670438724970.10|2920374
# R|F|37719753.0|56568041380.90|5374129268460.40|558896191198319.32|1478870
# A|F|0.0|0.0|0.0|0.0|0
# N|F|0.0|0.0|0.0|0.0|0
# N|O|0.0|0.0|0.0|0.0|0
# R|F|0.0|0.0|0.0|0.0|0
